Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-12-19,Albury,11.2,22.5,10.6,,,SSE,43.0,WSW,SW,24.0,17.0,47.0,32.0,1009.4,1009.7,,2.0,15.5,21.0,Yes,0.0,No
2008-12-20,Albury,9.8,25.6,0.0,,,SSE,26.0,SE,NNW,17.0,6.0,45.0,26.0,1019.2,1017.1,,,15.8,23.2,No,0.0,No
2008-12-21,Albury,11.5,29.3,0.0,,,S,24.0,SE,SE,9.0,9.0,56.0,28.0,1019.3,1014.8,,,19.1,27.3,No,0.0,No
2008-12-22,Albury,17.1,33.0,0.0,,,NE,43.0,NE,N,17.0,22.0,38.0,28.0,1013.6,1008.1,,1.0,24.5,31.6,No,0.0,No
2008-12-23,Albury,20.5,31.8,0.0,,,WNW,41.0,W,W,19.0,20.0,54.0,24.0,1007.8,1005.7,,,23.8,30.8,No,0.0,No
2008-12-24,Albury,15.3,30.9,0.0,,,N,33.0,ESE,NW,6.0,13.0,55.0,23.0,1011.0,1008.2,5.0,,20.9,29.0,No,0.0,No
2008-12-25,Albury,12.6,32.4,0.0,,,W,43.0,E,W,4.0,19.0,49.0,17.0,1012.9,1010.1,,,21.5,31.2,No,0.0,No
2008-12-26,Albury,16.2,33.9,0.0,,,WSW,35.0,SE,WSW,9.0,13.0,45.0,19.0,1010.9,1007.6,,1.0,23.2,33.0,No,0.0,No
2008-12-27,Albury,16.9,33.0,0.0,,,WSW,57.0,,W,0.0,26.0,41.0,28.0,1006.8,1003.6,,1.0,26.6,31.2,No,0.0,No
2008-12-28,Albury,20.1,32.7,0.0,,,WNW,48.0,N,WNW,13.0,30.0,56.0,15.0,1005.2,1001.7,,,24.6,32.1,No,0.0,No
2008-12-29,Albury,19.7,27.2,0.0,,,WNW,46.0,NW,WSW,19.0,30.0,49.0,22.0,1004.8,1004.2,,,21.6,26.1,No,1.2,Yes
2008-12-30,Albury,12.5,24.2,1.2,,,WNW,50.0,WSW,SW,11.0,22.0,78.0,70.0,1005.6,1003.4,8.0,8.0,12.5,18.2,Yes,0.8,No
2008-12-31,Albury,12.0,24.4,0.8,,,W,39.0,WNW,WNW,17.0,17.0,48.0,28.0,1006.1,1005.1,1.0,,16.9,22.7,No,0.0,No
2009-01-01,Albury,11.3,26.5,0.0,,,WNW,56.0,W,WNW,19.0,31.0,46.0,26.0,1004.5,1003.2,,,19.7,25.7,No,0.0,No
2009-01-02,Albury,9.6,23.9,0.0,,,W,41.0,WSW,SSW,19.0,11.0,44.0,22.0,1014.4,1013.1,,,14.9,22.1,No,0.0,No
2009-01-03,Albury,10.5,28.8,0.0,,,SSE,26.0,SSE,E,11.0,7.0,43.0,22.0,1018.7,1014.8,,,17.1,26.5,No,0.0,No
2009-01-04,Albury,12.3,34.6,0.0,,,WNW,37.0,SSE,NW,6.0,17.0,41.0,12.0,1015.1,1010.3,,,20.7,33.9,No,0.0,No
2009-01-05,Albury,12.9,35.8,0.0,,,WNW,41.0,ENE,NW,6.0,26.0,41.0,9.0,1012.6,1009.2,,,22.4,34.4,No,0.0,No
2009-01-06,Albury,13.7,37.9,0.0,,,W,52.0,SE,WNW,4.0,26.0,33.0,8.0,1010.9,1006.7,,,23.1,36.8,No,0.0,No
2009-01-07,Albury,16.1,38.9,0.0,,,W,57.0,E,W,6.0,30.0,34.0,12.0,1007.0,1002.7,,,25.2,38.4,No,0.0,No
2009-01-08,Albury,14.0,28.3,0.0,,,W,48.0,W,WSW,17.0,24.0,43.0,15.0,1011.9,1010.9,,,17.9,27.6,No,0.0,No
2009-01-09,Albury,12.5,28.4,0.0,,,NE,37.0,SSE,S,20.0,9.0,38.0,16.0,1017.8,1013.7,,,17.2,26.6,No,0.0,No
2009-01-10,Albury,17.0,30.8,0.0,,,NE,37.0,NNE,E,15.0,11.0,36.0,24.0,1013.4,1008.1,,,20.2,29.3,No,0.0,No
2009-01-11,Albury,16.9,32.0,0.0,,,S,31.0,SSE,N,13.0,17.0,52.0,31.0,1009.9,1006.8,,,22.8,30.0,No,0.0,No
2009-01-12,Albury,17.3,34.7,0.0,,,SW,35.0,SE,WSW,7.0,15.0,48.0,16.0,1014.1,1012.1,,,24.2,33.2,No,0.0,No
2009-01-13,Albury,17.2,37.7,0.0,,,NNW,35.0,SE,NW,7.0,17.0,51.0,19.0,1015.7,1010.9,,,24.3,35.7,No,0.0,No
2009-01-14,Albury,17.4,43.0,0.0,,,NW,39.0,SSE,SSW,7.0,17.0,40.0,8.0,1011.6,1006.9,,,25.6,41.5,No,0.0,No
2009-01-15,Albury,19.8,32.7,0.0,,,WNW,44.0,W,W,20.0,28.0,34.0,28.0,1008.4,1009.2,,,27.6,27.1,No,0.0,No
2009-01-16,Albury,14.9,26.7,0.0,,,SW,56.0,WSW,SW,20.0,31.0,46.0,20.0,1014.1,1012.7,,,18.0,25.5,No,0.0,No
2009-01-17,Albury,10.5,28.4,0.0,,,SE,33.0,SE,SW,19.0,11.0,35.0,16.0,1019.7,1017.4,,,16.0,25.8,No,0.0,No
2009-01-18,Albury,11.3,32.2,0.0,,,WNW,28.0,ENE,SSW,17.0,15.0,34.0,17.0,1019.7,1016.2,,,20.9,30.5,No,0.0,No
2009-01-19,Albury,13.9,36.6,0.0,,,WNW,39.0,SSE,NNE,2.0,15.0,39.0,10.0,1015.8,1010.6,,,22.0,34.4,No,0.0,No
2009-01-20,Albury,18.6,39.9,0.0,,,NNW,61.0,SSE,WNW,9.0,20.0,36.0,21.0,1010.1,1004.8,,,26.8,37.7,No,0.8,No
2009-01-21,Albury,19.3,38.1,0.8,,,NNW,61.0,NE,WSW,15.0,17.0,48.0,17.0,1009.6,1005.9,,,27.3,36.1,No,0.6,No
2009-01-22,Albury,24.4,34.0,0.6,,,NW,98.0,N,NNW,26.0,48.0,60.0,39.0,1005.3,997.8,4.0,1.0,26.1,33.1,No,6.4,Yes
2009-01-23,Albury,18.8,35.2,6.4,,,WNW,52.0,S,NW,6.0,28.0,43.0,28.0,1007.9,1003.9,,,22.8,33.0,Yes,0.0,No
2009-01-24,Albury,20.8,30.6,0.0,,,W,54.0,W,W,30.0,28.0,41.0,21.0,1005.4,1007.6,,,23.3,29.7,No,0.0,No
2009-01-25,Albury,14.0,34.3,0.0,,,WSW,24.0,ESE,SSE,7.0,13.0,44.0,10.0,1016.5,1014.6,,,21.2,32.1,No,0.0,No
2009-01-26,Albury,15.7,38.4,0.0,,,S,33.0,SSE,WSW,7.0,7.0,48.0,12.0,1017.7,1014.6,,,23.4,36.5,No,0.0,No
2009-01-27,Albury,18.5,38.2,0.0,,,NNE,31.0,SE,NNW,9.0,17.0,48.0,25.0,1017.8,1014.1,,,25.8,36.2,No,0.0,No
2009-01-28,Albury,20.4,40.7,0.0,,,N,37.0,E,NNE,7.0,13.0,45.0,15.0,1014.9,1011.6,,,28.2,39.2,No,0.0,No
2009-01-29,Albury,21.8,41.5,0.0,,,SW,24.0,ESE,S,6.0,11.0,38.0,13.0,1015.7,1011.8,,,29.0,40.1,No,0.0,No
2009-01-30,Albury,22.3,42.9,0.0,,,NNE,28.0,ESE,SE,9.0,11.0,37.0,11.0,1014.6,1010.2,,,29.2,41.2,No,0.0,No
2009-01-31,Albury,22.0,42.7,0.0,,,ESE,48.0,ESE,SW,4.0,4.0,33.0,11.0,1014.2,1010.5,,,29.9,42.0,No,0.0,No
2009-02-01,Albury,28.0,43.1,0.0,,,SW,83.0,SE,E,15.0,9.0,27.0,9.0,1012.5,1008.7,,,32.4,41.9,No,0.2,No
2009-02-02,Albury,24.4,38.3,0.2,,,SW,56.0,NE,NW,19.0,7.0,32.0,21.0,1011.7,1007.4,,,28.8,37.1,No,0.0,No
2009-02-03,Albury,21.5,37.7,0.0,,,,,N,,13.0,9.0,51.0,21.0,1009.2,1005.7,,,27.2,36.2,No,0.0,No
2009-02-04,Albury,21.7,36.9,0.0,,,,,,,11.0,11.0,53.0,26.0,1008.8,1004.7,,,25.5,35.2,No,0.0,No
2009-02-05,Albury,21.5,41.2,0.0,,,WSW,35.0,SSE,S,7.0,19.0,48.0,15.0,1005.9,1002.6,,,26.5,39.7,No,0.0,No
2009-02-06,Albury,23.5,42.2,0.0,,,W,37.0,SE,W,6.0,15.0,39.0,8.0,1008.0,1005.0,,,28.7,41.6,No,0.0,No
2009-02-07,Albury,22.3,44.8,0.0,,,NNW,59.0,SE,NW,9.0,33.0,36.0,11.0,1008.2,1003.8,,,29.6,43.4,No,0.0,No
2009-02-08,Albury,28.3,40.2,0.0,,,NW,52.0,N,W,9.0,22.0,20.0,19.0,1007.0,1006.5,,5.0,34.5,38.5,No,0.4,No
2009-02-09,Albury,18.4,31.2,0.4,,,SE,37.0,SW,WSW,7.0,11.0,66.0,31.0,1009.3,1007.8,7.0,8.0,18.7,29.4,No,0.0,No
2009-02-10,Albury,14.9,27.3,0.0,,,SSE,41.0,SSE,SE,20.0,13.0,50.0,30.0,1011.6,1008.5,,1.0,17.4,25.8,No,0.0,No
2009-02-11,Albury,13.5,26.7,0.0,,,SSE,46.0,SSE,E,19.0,11.0,45.0,24.0,1012.8,1011.1,,,16.7,24.9,No,0.0,No
2009-02-12,Albury,16.1,21.6,0.0,,,SE,46.0,SSE,NE,11.0,15.0,58.0,69.0,1017.0,1017.3,2.0,8.0,17.0,17.3,No,3.0,Yes
2009-02-13,Albury,14.6,29.0,3.0,,,SSE,41.0,SE,SSE,26.0,24.0,41.0,21.0,1023.3,1019.7,,,18.0,27.6,Yes,0.0,No
2009-02-14,Albury,12.4,29.2,0.0,,,NE,39.0,S,,7.0,0.0,37.0,18.0,1022.5,1016.4,,,18.3,28.5,No,0.0,No
2009-02-15,Albury,13.3,31.3,0.0,,,NNE,41.0,SSE,SSW,7.0,15.0,50.0,23.0,1016.2,1012.8,,,19.2,29.2,No,0.0,No
2009-02-16,Albury,17.2,31.1,0.0,,,E,35.0,SE,ESE,17.0,11.0,43.0,22.0,1017.7,1013.8,,,21.4,29.5,No,0.0,No
2009-02-17,Albury,12.5,28.8,0.0,,,N,31.0,SSE,ENE,7.0,11.0,46.0,17.0,1017.2,1013.5,,,18.0,27.0,No,0.0,No
2009-02-18,Albury,18.0,32.0,0.0,,,NW,31.0,ENE,SW,4.0,13.0,44.0,22.0,1012.4,1007.5,,,22.1,30.7,No,0.0,No
2009-02-19,Albury,16.2,34.0,0.0,,,WSW,48.0,SE,WSW,4.0,22.0,53.0,16.0,1007.8,1004.5,,,21.0,32.7,No,0.0,No
2009-02-20,Albury,18.7,29.1,0.0,,,SSW,41.0,NNW,SSE,7.0,17.0,45.0,39.0,1010.1,1010.8,,,21.5,26.8,No,0.0,No
2009-02-21,Albury,13.7,31.7,0.0,,,SSE,28.0,SSE,S,2.0,9.0,63.0,19.0,1012.5,1010.4,,,19.3,29.8,No,0.0,No
2009-02-22,Albury,15.5,33.2,0.0,,,NW,31.0,S,WNW,11.0,15.0,49.0,23.0,1015.6,1012.4,,,20.9,31.3,No,0.0,No
2009-02-23,Albury,14.3,34.0,0.0,,,NW,70.0,SE,NW,6.0,22.0,48.0,10.0,1013.0,1009.2,,,20.7,33.4,No,0.0,No
2009-02-24,Albury,12.9,29.6,0.0,,,WNW,46.0,SW,WNW,7.0,24.0,54.0,14.0,1014.0,1012.7,6.0,7.0,18.7,28.6,No,0.0,No
2009-02-25,Albury,8.9,31.9,0.0,,,WNW,43.0,,WSW,0.0,17.0,49.0,16.0,1016.6,1013.4,7.0,7.0,15.0,29.3,No,0.0,No
2009-02-26,Albury,15.0,32.7,0.0,,,ESE,26.0,ESE,S,15.0,2.0,43.0,19.0,1017.8,1015.0,,,20.7,30.5,No,0.0,No
2009-02-27,Albury,15.4,32.6,0.0,,,W,24.0,,S,0.0,6.0,53.0,25.0,1016.2,1012.6,,,20.0,30.8,No,0.0,No
2009-02-28,Albury,16.0,34.5,0.0,,,WSW,44.0,E,,6.0,,44.0,14.0,1007.5,1004.6,,,22.2,33.6,No,0.0,No
2009-03-01,Albury,12.8,30.3,0.0,,,W,30.0,W,WSW,4.0,13.0,53.0,27.0,1010.5,1008.7,,,17.3,28.1,No,0.0,No
2009-03-02,Albury,13.2,31.9,0.0,,,NNW,35.0,S,ENE,6.0,9.0,53.0,25.0,1014.1,1011.6,,,18.0,29.8,No,0.0,No
2009-03-03,Albury,18.0,31.1,0.0,,,WNW,52.0,NE,NNE,15.0,26.0,58.0,35.0,1014.7,1009.0,5.0,,23.0,29.2,No,0.2,No
2009-03-04,Albury,13.8,22.1,0.2,,,WNW,57.0,W,WNW,26.0,33.0,57.0,26.0,1014.5,1013.1,,,15.6,21.9,No,0.0,No
2009-03-05,Albury,11.5,22.0,0.0,,,SW,50.0,WSW,W,19.0,33.0,60.0,33.0,1013.7,1011.8,,,13.9,21.4,No,0.0,No
2009-03-06,Albury,7.6,24.0,0.0,,,WSW,30.0,,WNW,0.0,13.0,52.0,23.0,1014.5,1012.0,,,12.6,22.0,No,0.0,No
2009-03-07,Albury,8.3,27.9,0.0,,,W,37.0,S,W,4.0,20.0,58.0,22.0,1015.2,1012.4,,,13.3,27.0,No,0.0,No
2009-03-08,Albury,11.0,30.2,0.0,,,SSE,24.0,E,SSE,7.0,11.0,54.0,20.0,1017.0,1014.7,,,17.6,28.8,No,0.0,No
2009-03-09,Albury,13.8,31.8,0.0,,,NNE,24.0,SSE,NE,6.0,17.0,49.0,28.0,1019.7,1015.9,,,18.6,30.5,No,0.0,No
2009-03-10,Albury,15.5,32.0,0.0,,,NE,50.0,ESE,E,2.0,4.0,51.0,25.0,1019.5,1016.2,,,20.1,30.8,No,1.2,Yes
2009-03-11,Albury,18.4,30.5,1.2,,,NE,44.0,NE,N,15.0,19.0,57.0,23.0,1021.3,1018.0,,,21.5,29.6,Yes,0.0,No
2009-03-12,Albury,20.9,25.7,0.0,,,W,37.0,ENE,S,11.0,9.0,52.0,90.0,1019.5,1018.9,,8.0,22.2,18.8,No,5.8,Yes
2009-03-13,Albury,17.1,25.8,5.8,,,ENE,31.0,,S,0.0,13.0,82.0,68.0,1017.4,1014.7,8.0,,19.0,23.8,Yes,3.0,Yes
2009-03-14,Albury,16.4,27.0,3.0,,,SW,69.0,E,N,9.0,22.0,82.0,74.0,1012.7,1008.0,,4.0,19.9,19.7,Yes,11.6,Yes
2009-03-15,Albury,10.0,19.7,11.6,,,WNW,39.0,W,NW,11.0,17.0,62.0,41.0,1013.4,1012.0,,8.0,12.7,18.3,Yes,0.0,No
2009-03-16,Albury,8.8,21.9,0.0,,,W,39.0,S,WNW,2.0,20.0,78.0,34.0,1013.3,1011.6,,6.0,12.2,20.5,No,0.0,No
2009-03-17,Albury,8.4,25.3,0.0,,,WNW,35.0,SSE,WSW,9.0,17.0,78.0,34.0,1015.6,1013.2,,,12.1,23.9,No,0.0,No
2009-03-18,Albury,9.3,28.0,0.0,,,NW,52.0,SSE,NW,6.0,11.0,76.0,19.0,1017.4,1013.9,,,14.7,27.2,No,0.0,No
2009-03-19,Albury,11.3,30.1,0.0,,,WSW,24.0,S,SW,6.0,7.0,56.0,15.0,1016.3,1013.6,,,14.7,29.3,No,0.0,No
2009-03-20,Albury,11.5,33.5,0.0,,,SSE,22.0,NE,N,7.0,7.0,50.0,13.0,1016.5,1013.6,,,17.4,32.6,No,0.0,No
2009-03-21,Albury,13.8,33.6,0.0,,,NNW,28.0,,NNE,0.0,11.0,47.0,17.0,1017.0,1013.1,,2.0,18.8,33.5,No,0.0,No
2009-03-22,Albury,14.6,30.0,0.0,,,NE,37.0,E,NNE,4.0,19.0,56.0,30.0,1014.8,1012.7,3.0,1.0,18.1,29.0,No,0.0,No
2009-03-23,Albury,14.4,31.6,0.0,,,NW,37.0,,WNW,0.0,24.0,63.0,25.0,1013.7,1011.8,,,18.8,31.4,No,0.0,No
2009-03-24,Albury,10.8,31.9,0.0,,,S,48.0,SSE,WNW,6.0,20.0,62.0,20.0,1016.5,1014.4,,,15.4,30.7,No,0.4,No
2009-03-25,Albury,15.4,22.3,0.4,,,ENE,30.0,SSE,SSE,11.0,9.0,69.0,78.0,1017.4,1019.2,8.0,8.0,18.3,19.6,No,1.8,Yes
2009-03-26,Albury,13.3,29.8,1.8,,,WSW,33.0,,WNW,0.0,20.0,87.0,26.0,1019.1,1017.2,,6.0,16.2,29.2,Yes,0.0,No
2009-03-27,Albury,10.1,27.6,0.0,,,WNW,43.0,,W,0.0,11.0,63.0,30.0,1023.0,1020.7,,,16.5,26.8,No,0.0,No
2009-03-28,Albury,9.1,28.9,0.0,,,NNW,24.0,N,N,2.0,17.0,60.0,26.0,1023.8,1020.6,,,14.0,27.7,No,0.0,No
2009-03-29,Albury,10.4,31.2,0.0,,,S,22.0,,SE,0.0,6.0,60.0,18.0,1022.4,1019.1,,,16.0,29.9,No,0.0,No
2009-03-30,Albury,13.4,30.4,0.0,,,ENE,22.0,,SE,0.0,9.0,57.0,16.0,1023.0,1019.5,,,17.2,29.2,No,0.0,No
2009-03-31,Albury,12.3,29.9,0.0,,,WSW,26.0,S,SSW,2.0,13.0,61.0,25.0,1023.2,1019.5,,,17.1,28.6,No,0.0,No
2009-04-01,Albury,12.2,30.6,0.0,,,SE,22.0,,ENE,0.0,6.0,59.0,22.0,1022.6,1019.4,,,16.6,29.5,No,0.0,No
2009-04-02,Albury,14.3,32.1,0.0,,,NE,28.0,,ENE,0.0,11.0,59.0,30.0,1022.6,1018.4,,,18.4,30.9,No,8.6,Yes
2009-04-03,Albury,18.4,28.1,8.6,,,W,98.0,E,NNE,7.0,17.0,92.0,49.0,1018.8,1012.9,8.0,6.0,19.0,27.4,Yes,12.6,Yes
2009-04-04,Albury,10.7,21.4,12.6,,,W,43.0,,WSW,0.0,13.0,60.0,33.0,1019.8,1019.3,,,13.9,20.3,Yes,0.0,No
2009-04-05,Albury,7.8,21.7,0.0,,,WSW,31.0,E,NW,6.0,19.0,72.0,37.0,1020.4,1016.5,,,12.9,21.2,No,0.0,No
2009-04-06,Albury,8.1,21.4,0.0,,,W,35.0,SSE,WSW,13.0,19.0,58.0,20.0,1021.8,1019.6,,,13.8,20.9,No,0.0,No
2009-04-07,Albury,7.5,22.5,0.0,,,SE,28.0,S,S,7.0,7.0,55.0,27.0,1026.7,1023.5,,,13.3,21.6,No,0.0,No
2009-04-08,Albury,8.2,24.0,0.0,,,SSE,17.0,SSE,SSE,7.0,13.0,60.0,30.0,1027.1,1023.4,,,13.8,23.5,No,0.0,No
2009-04-09,Albury,8.1,25.7,0.0,,,ENE,22.0,ESE,S,9.0,13.0,67.0,27.0,1024.2,1019.6,,,15.1,25.0,No,0.0,No
2009-04-10,Albury,11.6,26.7,0.0,,,W,48.0,SE,NE,6.0,11.0,59.0,42.0,1021.5,1017.7,8.0,7.0,16.4,24.3,No,8.4,Yes
2009-04-11,Albury,13.0,24.9,8.4,,,W,46.0,S,E,6.0,11.0,75.0,47.0,1024.4,1020.3,8.0,6.0,18.0,24.4,Yes,6.2,Yes
2009-04-12,Albury,13.5,24.2,6.2,,,WSW,20.0,,SE,0.0,6.0,88.0,52.0,1024.1,1020.8,8.0,,15.4,23.1,Yes,0.0,No
2009-04-13,Albury,9.9,25.4,0.0,,,NNE,19.0,ENE,SSW,4.0,7.0,65.0,35.0,1023.0,1018.7,,,16.1,25.0,No,0.0,No
2009-04-14,Albury,12.2,25.0,0.0,,,WNW,30.0,,W,0.0,15.0,68.0,39.0,1016.3,1011.6,6.0,,16.2,24.6,No,0.0,No
2009-04-15,Albury,10.7,21.9,0.0,,,W,63.0,NW,W,26.0,31.0,44.0,27.0,1008.2,1009.8,2.0,,20.5,18.9,No,0.0,No
2009-04-16,Albury,3.5,20.0,0.0,,,W,31.0,,WNW,0.0,13.0,65.0,30.0,1016.3,1012.8,,,9.6,19.4,No,0.0,No
2009-04-17,Albury,6.6,21.6,0.0,,,WNW,26.0,ENE,W,6.0,11.0,59.0,39.0,1018.5,1016.8,5.0,1.0,12.6,21.6,No,0.0,No
2009-04-18,Albury,7.0,23.4,0.0,,,W,24.0,SSE,W,2.0,17.0,73.0,37.0,1022.8,1019.3,,,12.4,22.9,No,0.0,No
2009-04-19,Albury,11.2,23.9,0.0,,,SE,31.0,SE,SE,13.0,15.0,54.0,33.0,1022.7,1019.6,,,18.0,23.6,No,0.0,No
2009-04-20,Albury,7.4,22.0,0.0,,,SSE,28.0,SE,SE,2.0,7.0,58.0,29.0,1023.6,1020.0,,,14.1,21.3,No,0.0,No
2009-04-21,Albury,5.7,21.4,0.0,,,ESE,17.0,ENE,SSE,6.0,7.0,68.0,39.0,1025.2,1020.9,,,12.2,20.9,No,0.0,No
2009-04-22,Albury,6.2,22.7,0.0,,,ESE,17.0,,SW,0.0,7.0,73.0,33.0,1026.0,1021.6,,,11.2,22.3,No,0.0,No
2009-04-23,Albury,6.0,22.9,0.0,,,NE,33.0,,NE,0.0,20.0,68.0,34.0,1021.3,1015.7,,,12.9,22.6,No,0.0,No
2009-04-24,Albury,10.6,16.2,0.0,,,WNW,39.0,ESE,NNE,7.0,4.0,74.0,86.0,1008.9,1002.4,8.0,8.0,14.9,15.1,No,20.0,Yes
2009-04-25,Albury,12.9,15.8,20.0,,,W,70.0,WNW,NNW,19.0,15.0,83.0,89.0,1004.8,1000.9,8.0,8.0,13.3,14.5,Yes,21.0,Yes
2009-04-26,Albury,8.6,12.9,21.0,,,NNW,63.0,NW,WNW,26.0,31.0,77.0,62.0,1004.0,1003.3,8.0,8.0,9.5,11.6,Yes,3.2,Yes
2009-04-27,Albury,4.5,11.5,3.2,,,NW,26.0,N,NNW,9.0,13.0,82.0,79.0,1013.8,1013.5,8.0,8.0,7.6,9.4,Yes,4.8,Yes
2009-04-28,Albury,7.6,14.5,4.8,,,WNW,35.0,W,W,15.0,20.0,83.0,48.0,1018.0,1018.3,8.0,1.0,10.1,14.0,Yes,0.0,No
2009-04-29,Albury,5.4,12.2,0.0,,,SSE,19.0,SE,SSE,9.0,7.0,62.0,46.0,1023.1,1020.9,,8.0,8.2,12.1,No,0.0,No
2009-04-30,Albury,2.1,16.5,0.0,,,SW,19.0,,SW,0.0,7.0,70.0,38.0,1023.4,1021.5,,,7.9,16.1,No,0.0,No
2009-05-01,Albury,1.8,17.0,0.0,,,SW,19.0,,WSW,0.0,7.0,77.0,44.0,1026.0,1023.2,,,7.2,16.3,No,0.0,No
2009-05-02,Albury,7.2,19.2,0.0,,,SW,22.0,ENE,W,7.0,6.0,81.0,49.0,1026.9,1024.0,8.0,4.0,10.1,19.1,No,0.0,No
2009-05-03,Albury,4.6,18.9,0.0,,,S,15.0,N,SSE,4.0,7.0,75.0,51.0,1028.7,1025.9,,,10.6,18.5,No,0.0,No
2009-05-04,Albury,4.2,19.1,0.0,,,W,19.0,ENE,WSW,6.0,13.0,86.0,44.0,1029.8,1027.3,,,9.6,18.8,No,0.0,No
2009-05-05,Albury,5.2,18.8,0.0,,,ESE,15.0,,SE,0.0,7.0,71.0,47.0,1031.4,1028.1,,,10.3,18.4,No,0.0,No
2009-05-06,Albury,4.1,19.3,0.0,,,SW,20.0,ENE,WNW,6.0,7.0,82.0,49.0,1028.5,1024.6,,,10.0,19.2,No,0.0,No
2009-05-07,Albury,3.2,18.4,0.0,,,SW,20.0,SE,WNW,6.0,11.0,86.0,49.0,1026.2,1023.6,,,8.3,18.2,No,0.0,No
2009-05-08,Albury,4.3,19.0,0.0,,,W,15.0,,W,0.0,9.0,68.0,36.0,1028.8,1025.8,,,11.0,18.5,No,0.0,No
2009-05-09,Albury,3.7,20.5,0.0,,,W,17.0,,WSW,0.0,7.0,78.0,45.0,1026.0,1021.8,,,9.4,20.2,No,0.0,No
2009-05-10,Albury,5.4,19.5,0.0,,,SE,17.0,,SE,0.0,7.0,69.0,40.0,1025.1,1022.3,,,11.7,19.1,No,0.0,No
2009-05-11,Albury,4.3,17.7,0.0,,,ESE,15.0,NNW,S,6.0,7.0,89.0,53.0,1025.6,1022.2,8.0,,8.5,17.7,No,0.0,No
2009-05-12,Albury,3.6,18.5,0.0,,,W,26.0,ENE,WNW,4.0,17.0,81.0,49.0,1022.3,1018.5,,,9.1,18.0,No,0.0,No
2009-05-13,Albury,3.6,15.1,0.0,,,WNW,28.0,SE,W,4.0,17.0,86.0,61.0,1018.4,1015.7,,8.0,7.5,14.6,No,0.0,No
